"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","contrast","DE"
"GO:0006096","BP","GO:0006096","glycolytic process","8/133","27/5341",1.78528702828674e-07,5.48530512792153e-05,4.89598443600989e-05,"850370/851620/852639/853106/853169/856579/853465/853705",8,"WT_vs_DEL","up-regulated"
"GO:0006757","BP","GO:0006757","ATP generation from ADP","8/133","27/5341",1.78528702828674e-07,5.48530512792153e-05,4.89598443600989e-05,"850370/851620/852639/853106/853169/856579/853465/853705",8,"WT_vs_DEL","up-regulated"
"GO:0006090","BP","GO:0006090","pyruvate metabolic process","9/133","39/5341",3.1596447032862e-07,5.48530512792153e-05,4.89598443600989e-05,"850370/851620/850616/852639/853106/853169/856579/853465/853705",9,"WT_vs_DEL","up-regulated"
"GO:0006165","BP","GO:0006165","nucleoside diphosphate phosphorylation","8/133","29/5341",3.30952595132899e-07,5.48530512792153e-05,4.89598443600989e-05,"850370/851620/852639/853106/853169/856579/853465/853705",8,"WT_vs_DEL","up-regulated"
"GO:0046031","BP","GO:0046031","ADP metabolic process","8/133","29/5341",3.30952595132899e-07,5.48530512792153e-05,4.89598443600989e-05,"850370/851620/852639/853106/853169/856579/853465/853705",8,"WT_vs_DEL","up-regulated"
"GO:0009135","BP","GO:0009135","purine nucleoside diphosphate metabolic process","8/133","30/5341",4.41917835079277e-07,5.48530512792153e-05,4.89598443600989e-05,"850370/851620/852639/853106/853169/856579/853465/853705",8,"WT_vs_DEL","up-regulated"
"GO:0009179","BP","GO:0009179","purine ribonucleoside diphosphate metabolic process","8/133","30/5341",4.41917835079277e-07,5.48530512792153e-05,4.89598443600989e-05,"850370/851620/852639/853106/853169/856579/853465/853705",8,"WT_vs_DEL","up-regulated"
"GO:0046939","BP","GO:0046939","nucleotide phosphorylation","8/133","30/5341",4.41917835079277e-07,5.48530512792153e-05,4.89598443600989e-05,"850370/851620/852639/853106/853169/856579/853465/853705",8,"WT_vs_DEL","up-regulated"
"GO:0009185","BP","GO:0009185","ribonucleoside diphosphate metabolic process","8/133","31/5341",5.83248559915002e-07,6.43517577772886e-05,5.74380453156061e-05,"850370/851620/852639/853106/853169/856579/853465/853705",8,"WT_vs_DEL","up-regulated"
"GO:0009132","BP","GO:0009132","nucleoside diphosphate metabolic process","8/133","34/5341",1.26041518917054e-06,0.000125159228284634,0.000111712588345431,"850370/851620/852639/853106/853169/856579/853465/853705",8,"WT_vs_DEL","up-regulated"
"GO:0006825","BP","GO:0006825","copper ion transport","6/133","20/5341",6.19717222640864e-06,0.000554125336971944,0.000494592180771057,"850651/850911/855369/855462/854013/856241",6,"WT_vs_DEL","up-regulated"
"GO:0016052","BP","GO:0016052","carbohydrate catabolic process","11/133","85/5341",6.69637869452501e-06,0.000554125336971944,0.000494592180771057,"852307/850370/851620/852639/853106/853169/856579/856589/853465/853705/854932",11,"WT_vs_DEL","up-regulated"
"GO:0000041","BP","GO:0000041","transition metal ion transport","9/133","63/5341",2.12693183589254e-05,0.00162464870233946,0.00145010251483524,"852637/853106/850651/850911/855369/855462/854013/854565/856241",9,"WT_vs_DEL","up-regulated"
"GO:0046364","BP","GO:0046364","monosaccharide biosynthetic process","6/133","29/5341",6.31488981489126e-05,0.00447906113299073,0.0039978475369462,"852342/850370/851620/853106/853465/853705",6,"WT_vs_DEL","up-regulated"
"GO:0015677","BP","GO:0015677","copper ion import","4/133","11/5341",0.000105903982898854,0.00701084366790412,0.00625762481409368,"850911/855369/854013/856241",4,"WT_vs_DEL","up-regulated"
