"chr","first_coord","gene_systematic_name"
1,283,"X"
1,335,"YAL069W"
1,388,"X"
1,436,"X"
1,492,"X"
1,538,"YAL068W-A"
1,716,"X"
1,822,"X"
1,872,"X"
1,922,"X"
1,986,"X"
1,1029,"X"
1,1061,"X"
1,1163,"X"
1,1318,"X"
1,1357,"X"
1,1371,"X"
1,1387,"X"
1,1475,"X"
1,1623,"X"
1,1643,"X"
1,1774,"X"
1,1853,"X"
1,1881,"X"
1,2129,"X"
1,2281,"X"
1,2374,"X"
1,2425,"X"
1,2442,"X"
1,2480,"YAL067W-A"
1,2736,"X"
1,2866,"X"
1,2896,"X"
1,3115,"X"
1,3167,"X"
1,3241,"X"
1,3272,"X"
1,3361,"X"
1,3420,"X"
1,3431,"X"
1,3492,"X"
1,3633,"X"
1,3684,"X"
1,3697,"X"
1,3701,"X"
1,3753,"X"
1,3931,"X"
1,3974,"X"
1,4002,"X"
1,4051,"X"
1,4067,"X"
1,4260,"X"
1,4291,"X"
1,4424,"X"
1,4434,"X"
1,4567,"X"
1,4603,"X"
1,4671,"X"
1,4825,"X"
1,4955,"X"
1,4972,"X"
1,5101,"X"
1,5108,"X"
1,5157,"X"
1,5258,"X"
1,5279,"X"
1,5289,"X"
1,5500,"X"
1,5513,"X"
1,5517,"X"
1,5608,"X"
1,5640,"X"
1,5717,"X"
1,5810,"X"
1,5875,"X"
1,5895,"X"
1,6069,"X"
1,6121,"X"
1,6207,"X"
1,6362,"X"
1,6410,"X"
1,6457,"X"
1,6823,"X"
1,6861,"X"
1,6930,"X"
1,7016,"X"
1,7066,"X"
1,7096,"X"
1,7164,"X"
1,7213,"X"
1,7295,"X"
1,7383,"X"
1,7405,"X"
1,7474,"X"
1,7483,"X"
1,7609,"X"
1,7653,"X"
1,7773,"X"
1,7834,"X"
1,7890,"X"
1,8041,"X"
1,8152,"X"
1,8243,"X"
1,8307,"X"
1,8350,"X"
1,8483,"X"
1,8734,"X"
1,8792,"X"
1,8850,"X"
1,8870,"X"
1,9015,"X"
1,9019,"X"
1,9032,"X"
1,9089,"X"
1,9118,"X"
1,9172,"X"
1,9311,"X"
1,9546,"X"
1,9571,"X"
1,9632,"X"
