"orf_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast","gene_systematic_name"
"chr1_100225",181.990807876389,0.0121751764013405,0.0814895234784355,0.149342978760822,0.881283003363846,0.958597395287394,"WT_vs_DEL","YAL025C"
"chr1_101565",570.643361556905,0.0984003498644492,0.0664401176828167,1.48082357106553,0.138653593673677,0.436317206078096,"WT_vs_DEL","YAL024C"
"chr1_106272",2453.9485126804,-0.043009623742553,0.0476919613700259,-0.901813074304437,0.367156173351817,0.681678649289309,"WT_vs_DEL","YAL023C"
"chr1_108877",413.843979755507,0.0572767396263859,0.0731304762862831,0.782968753250733,0.433645461353112,0.734068316375798,"WT_vs_DEL","YAL022C"
"chr1_110846",2240.8974183267,-0.0594385213133706,0.0447821651999793,-1.32730495152168,0.184407826578136,0.50601009694126,"WT_vs_DEL","YAL021C"
"chr1_113614",588.405033136109,-0.0334034680293718,0.0645101372819795,-0.517835359248236,0.604573145541796,0.842184821463179,"WT_vs_DEL","YAL020C"
"chr1_114919",986.255572653148,-0.0920575593354894,0.0583709254377441,-1.57713248151203,0.114765044709293,0.39776362328903,"WT_vs_DEL","YAL019W"
"chr1_11565",21.5043734788329,0.00491440028756989,0.0561490889387709,0.0873317811960061,0.930407792776892,NA,"WT_vs_DEL","YAL065C"
"chr1_118564",13.1665313634625,-0.0641734060186167,0.0470136911905529,-1.36753453124079,0.171457821322037,NA,"WT_vs_DEL","YAL018C"
"chr1_120225",5041.90042219344,-0.0536537086816917,0.0419008219524278,-1.2805095769851,0.200365978744647,0.522149113898414,"WT_vs_DEL","YAL017W"
"chr1_12046",71.6518771323747,0.0777280636717659,0.0780248471516895,0.995514472194434,0.319486109113725,0.648429189360275,"WT_vs_DEL","YAL064W-B"
"chr1_124755",6.82627079433654,0.00529596724591069,0.0367371212507562,0.144586815971404,0.885037107174413,NA,"WT_vs_DEL","YAL016C-A"
"chr1_124879",2861.33047859807,-0.052926980460578,0.0442512695555622,-1.19605703879227,0.23167430114519,0.5615179439476,"WT_vs_DEL","YAL016W"
"chr1_126903",209.242966198934,0.0654922439333978,0.0803971624040113,0.814593622668365,0.415304962097794,0.720660211809075,"WT_vs_DEL","YAL015C"
"chr1_128252",311.522886740922,0.0706407532643141,0.0757630357169412,0.932480762538657,0.351088124016573,0.669394766095708,"WT_vs_DEL","YAL014C"
"chr1_129270",544.555174800188,0.0318299593335962,0.0700706569710639,0.454167105868918,0.649708556667853,0.865910672749736,"WT_vs_DEL","YAL013W"
"chr1_130799",349.611897374104,0.130487764607688,0.0737466067435647,1.76901356193761,0.0768916113779239,0.318213006971149,"WT_vs_DEL","YAL012W"
"chr1_131674",7.3688957388898,0.0260379944836725,0.0381590463162442,0.685841468180815,0.49281308342344,NA,"WT_vs_DEL","X"
"chr1_132160",328.46904183769,-0.0177285680252739,0.0762726500602191,-0.232440098662016,0.816196207400986,0.933850546103541,"WT_vs_DEL","X"
"chr1_13363",3.07447887109223,-0.00847769398011696,0.0238234941790186,-0.353758569885322,0.723519824672004,NA,"WT_vs_DEL","YAL064C-A"
"chr1_134184",348.40567276261,0.159937215899148,0.0750094840495539,2.1311712141719,0.0330750395579727,0.181164629571148,"WT_vs_DEL","YAL010C"
"chr1_135854",208.316311916537,0.0857627928990385,0.0800584177684176,1.07067577711972,0.284315237972576,0.62117272034586,"WT_vs_DEL","YAL009W"
"chr1_136895",2.42409747699122,0.00301898693355922,0.0211453084428346,0.144621371673656,0.88500982247578,NA,"WT_vs_DEL","X"
"chr1_136914",492.576933475343,0.178434560050345,0.0719404915944858,2.47976120153042,0.0131470397937465,0.0965416818918857,"WT_vs_DEL","YAL008W"
"chr1_137698",248.169066768238,0.00052801538083571,0.0797819072602278,0.00662003527871631,0.994718014639555,0.996644405160864,"WT_vs_DEL","YAL007C"
"chr1_139300",8.81324595216299,0.0761929329323191,0.039360222334478,1.97551394664431,0.0482098534902186,NA,"WT_vs_DEL","X"
"chr1_139503",25478.5710252409,0.112506469806672,0.0329204810119447,3.41750667874757,0.000631975434843958,0.00978688997907863,"WT_vs_DEL","YAL005C"
"chr1_142107",1.53900321480832,0.0197414364450698,0.018378033853195,1.10335615094346,0.269872530948291,NA,"WT_vs_DEL","X"
"chr1_142174",2144.62952871142,0.155427212605689,0.0481073787461382,3.2305465696088,0.00123553774909269,0.017233934632565,"WT_vs_DEL","X"
