"ORF","sample1","sample2","sample3","sample4","sample5","sample6"
"chr1_100225",201,185,217,136,147,220
"chr1_101565",669,578,708,479,478,552
"chr1_10513",0,0,0,0,0,0
"chr1_106050",0,0,0,0,0,0
"chr1_106272",2539,2334,3082,2162,2173,2565
"chr1_10791",0,0,0,0,0,0
"chr1_108846",0,0,0,0,0,0
"chr1_108877",401,433,570,329,363,424
"chr1_108920",0,0,0,0,0,0
"chr1_109388",0,0,0,1,0,0
"chr1_10943",0,0,0,0,0,0
"chr1_110427",0,0,0,0,0,0
"chr1_110517",0,0,0,0,0,0
"chr1_110846",2272,2197,2739,1977,2110,2243
"chr1_11168",0,0,0,0,0,0
"chr1_112962",0,0,0,0,0,0
"chr1_11308",0,0,0,0,0,0
"chr1_113614",597,597,712,518,540,591
"chr1_11402",0,0,0,0,0,0
"chr1_114221",0,0,0,0,0,0
"chr1_114919",1010,942,1171,877,872,1084
"chr1_11507",0,0,0,0,0,0
"chr1_11565",15.617,18.773,38.069,19.8,15.219,23.696
"chr1_118466",0,0,0,0,0,0
"chr1_118564",9,11,13,7,19,20
"chr1_119996",0,3,3,0,0,1
"chr1_120225",5250,4942,6052,4364,4983,4851
"chr1_12046",93,70,91,51,54,79
"chr1_124649",0,0,0,0,0,0
"chr1_124755",6.016,9.08,8.019,7,6.017,5
"chr1_124879",2967.984,2772.92,3487.981,2382,2820.983,2871
"chr1_126903",204,236,274,189,167,199
"chr1_127738",0,0,0,0,0,0
"chr1_128252",341,346,369,274,266,288
"chr1_128994",0,0,0,0,0,0
"chr1_129039",0,0,0,0,0,0
"chr1_129270",520,584,717,418,504,567
"chr1_130692",0,0,0,0,0,0
"chr1_130799",394,392,432,293,286,325
"chr1_131674",8,9,11,7,5,5
"chr1_132160",356,292,426,310,289,315
"chr1_13363",1,3,5,0,5,5
"chr1_134112",0,0,0,0,0,0
"chr1_134184",443,352,440,271,282,335
"chr1_135566",0,1,0,0,0,0
"chr1_135854",240,202,279,152,200,197
"chr1_136555",0,0,0,0,0,0
"chr1_136630",0,0,0,0,0,0
"chr1_136700",0,0,0,0,0,0
"chr1_136895",1,6,1,4,1,1
"chr1_136914",515,611,621,402,405,438
"chr1_137188",0,0,0,0,0,0
"chr1_137520",1,1,0,0,2,1
"chr1_137698",261,258,295,247,190,246
"chr1_137771",0,0,0,0,0,0
"chr1_138486",1,1,1,1,2,0
"chr1_138612",0,0,0,0,0,0
"chr1_138871",0,0,0,0,0,0
"chr1_138909",0,0,0,0,0,0
"chr1_139300",8,14,20,2,8,4
"chr1_139503",27484.601,27200.525,32459.212,20387.032,23169.958,24021.303
"chr1_141550",0,0,0,0,0,0
"chr1_141632",0,0,0,0,0,0
"chr1_141722",1,0,0,1,0,0
"chr1_141746",0,0,0,0,0,0
"chr1_141847",0,0,0,0,0,0
"chr1_142107",2,2,4,0,1,1
"chr1_142174",2412,2386,2653,1664,1830,2090
"chr1_142380",1,1,2,1,0,0
"chr1_143170",10,6,7,3,6,2
"chr1_143468",0,0,0,0,0,0
"chr1_143605",0,0,0,0,1,0
"chr1_143655",0,0,0,0,0,0
"chr1_143707",1472,1447,1838,1279,1477,1421
"chr1_147594",1979,1739,2243,1523,1806,1883
"chr1_151729",1,1,2,0,2,1
"chr1_151880",0,0,0,0,0,0
"chr1_151940",0,0,0,0,0,0
"chr1_151977",0,0,0,0,0,0
"chr1_151989",0,0,0,0,0,0
"chr1_152181",0,0,0,0,0,0
"chr1_152257",539,513,591,401,500,518
"chr1_153862",0,0,0,0,0,0
"chr1_154065",748,714,862,537,675,625
"chr1_154147",0,0,0,0,0,0
"chr1_155005",219,230,280,222,171,205
"chr1_156754",1139,1059,1364,974,1056,1084
"chr1_158891",119,82,126,89,85,87
"chr1_160101",0,0,0,0,0,0
"chr1_160165",0,0,0,0,0,0
"chr1_160597",588234.128,526877.707,657919.226,486915.154,559097.546,577671.454
"chr1_16236",4,3,4,1,2,6
"chr1_164544",125626.43,115274.337,140324.38,114435.576,128196.788,130200.747
"chr1_166189",0,0,0,0,0,0
"chr1_16641",0,0,0,0,0,0
"chr1_166472",1,0,0,0,0,0
"chr1_166742",902,824,994,686,695,875
"chr1_168975",0,0,0,0,0,0
"chr1_169080",0,0,0,0,0,0
"chr1_169202",0,0,0,0,0,0
"chr1_16933",6,7,7,6,6,6
"chr1_169375",905,884,1221,877,887,1100
"chr1_170396",304,300,364,223,193,237
"chr1_170892",0,0,0,0,0,0
"chr1_171077",0,0,0,0,0,0
"chr1_171723",0,0,0,0,0,0
"chr1_17177",0,0,0,0,0,0
"chr1_171916",0,0,0,0,0,0
"chr1_171971",0,0,0,0,0,0
"chr1_172040",0,0,0,0,0,0
"chr1_172110",1,0,3,0,0,1
"chr1_172211",854,772,992,796,869,863
"chr1_172357",0,0,0,0,0,0
"chr1_17305",0,0,0,0,0,0
"chr1_17455",38,44,44,31,29,40
"chr1_175293",0,0,0,0,0,0
"chr1_175369",14,6,8,6,6,8
"chr1_175430",4,5,9,3,2,2
"chr1_175563",17,7,18,7,11,18
"chr1_176082",0,0,0,0,0,0
"chr1_176334",0,0,0,0,0,0
"chr1_176412",0,0,0,0,0,0
"chr1_176856",7,6,7,10,8,9
"chr1_178146",4,6,9,5,4,10
"chr1_17852",1,0,0,0,0,0
"chr1_17905",25,24,29,22,22,17
"chr1_179281",99,100,94,81,85,97
"chr1_179338",0,0,0,0,0,0
"chr1_179576",0,0,0,0,0,0
"chr1_179738",0,0,0,0,0,1
"chr1_179865",0,0,0,0,0,0
"chr1_179943",0,0,0,0,0,0
"chr1_180050",0,0,0,0,0,0
"chr1_180103",4,1,4,1,4,5
"chr1_180292",0,2,0,0,0,1
"chr1_180453",4,4,10,4,4,6
"chr1_180543",0,1,1,0,0,0
"chr1_180630",0,0,0,0,0,0
"chr1_1807",0,1,0,0,0,0
"chr1_180931",0,0,0,0,0,0
"chr1_181554",0,0,0,0,0,0
"chr1_181570",0,0,0,0,0,0
"chr1_181708",0,0,0,0,0,0
"chr1_181718",1,0,1,1,0,0
"chr1_181863",0,0,0,0,0,0
"chr1_182130",1,0,1,1,2,1
"chr1_182288",0,0,0,0,0,0
"chr1_183123",0,0,0,0,0,0
"chr1_183200",21,15,24,20,20,14
"chr1_183434",1,3,1,0,3,1
"chr1_183770",944,862,1069,703,820,810
"chr1_183798",0,0,0,0,0,0
"chr1_183973",0,0,0,0,0,0
"chr1_184097",0,0,0,1,0,0
"chr1_184495",0,0,0,0,0,0
"chr1_184892",118,113,152,78,107,119
"chr1_185968",21,12,8,11,13,16
"chr1_186321",19,21,27,26,23,26
"chr1_186512",14,7,15,16,14,12
"chr1_186836",53.53,39.747,45.946,23.88,34.295,34.139
"chr1_186976",0,0,0,1,0,0
"chr1_187133",0,0,0,0,0,0
"chr1_187191",0,0,0,0,0,0
"chr1_187763",0,0,0,0,0,0
"chr1_187811",0,0,0,0,0,0
"chr1_188107",70.697,77.743,100.69,80.084,58.529,87.646
"chr1_188822",14,15,15,14,12,7
"chr1_189338",0,0,0,0,0,0
"chr1_189473",4,5,6,3,2,1
"chr1_189732",0,0,0,0,0,0
"chr1_189816",5,7,5,4,1,4
"chr1_189962",0,0,0,0,0,0
"chr1_19014",0,0,0,0,0,0
"chr1_190193",38030,40000.999,45195,37272,41021.998,41252
"chr1_191524",0,0,0,0,0,0
"chr1_191848",0,1.001,0,0,1.002,0
"chr1_192337",0,0,0,0,0,0
"chr1_192619",3748,3637,4423,2966,3260,3541
"chr1_196817",19,10,11,16,11,19
"chr1_196976",15,12,21,11,19,25
"chr1_197213",5,9,8,2,4,5
"chr1_197258",1,0,2,0,0,0
"chr1_197821",1,0,1,1,0,0
"chr1_198179",0,0,0,0,0,0
"chr1_198245",0,0,0,0,0,0
"chr1_198659",2,5,1,2,2,4
"chr1_198892",0,0,0,0,0,0
"chr1_199046",0,0,0,0,0,0
"chr1_199128",0,0,1,0,1,0
"chr1_199578",17,10,15,13,14,11
"chr1_200225",0,0,0,0,0,0
"chr1_200335",1,0,2,0,0,2
"chr1_200573",0,0,0,0,0,0
"chr1_200669",0,0,0,0,0,0
"chr1_200671",0,0,0,0,0,0
"chr1_200860",0,0,0,0,0,0
"chr1_200946",4,7,9,8,1,6
"chr1_202385",0,0,0,0,0,0
"chr1_202454",0,0,0,0,0,0
"chr1_203403",220.823,230.356,230.586,166.989,193.051,175.408
"chr1_20379",0,0,0,0,0,0
"chr1_207788",7,7.028,14.428,7,12,6
"chr1_208222",1,2,0,0,0,1
"chr1_208348",0,0,0,0,0,0
"chr1_208367",2,1,1,1,0,2
"chr1_208485",0,0,0,0,0,0
"chr1_208747",0,0,0,0,0,0
"chr1_209021",0,0,0,0,0,0
"chr1_21257",0,0,1,0,1,0
"chr1_21566",4,6,3,1,4,4
"chr1_220198",3,2,0,1.265,0,2
"chr1_221049",7.568,15.579,2.504,9.939,9.297,0
"chr1_222406",201,242,285,235,205,239
"chr1_22395",31,27,32,18,15,15
"chr1_225460",268.992,252.491,423.546,266.913,166.518,303.457
"chr1_227174",0,1,0,0,0,0
"chr1_227565",0,0,0,0,0,0
"chr1_227742",3.019,7,8,7.001,2,6
"chr1_228844",2,2.1,0,0,0,2
"chr1_23179",0,0,0,0,0,0
"chr1_23447",0,0,0,0,0,0
"chr1_23543",0,0,0,1,0,0
"chr1_23737",0,0,0,0,0,0
"chr1_23763",2,1,1,0,0,0
"chr1_24000",158.019,157.834,167.82,152.852,137.122,150.836
"chr1_2480",0,0,0,1,0,0
"chr1_28254",0,0,0,0,0,0
"chr1_29011",1,2,4,1,0,0
"chr1_29076",0,0,0,0,0,0
"chr1_30111",0,0,0,0,0,0
"chr1_30281",0,0,0,0,0,0
"chr1_30371",0,0,0,0,0,0
"chr1_30506",0,0,2,0,0,0
"chr1_30686",0,0,0,0,0,0
"chr1_30754",0,0,0,0,0,0
"chr1_31145",0,0,0,0,0,0
"chr1_31214",3,6,23,12,6,11
"chr1_31353",14,22,14,14,15,19
"chr1_31456",0,0,0,0,0,0
"chr1_31567",11575.925,11790.922,13317.953,10571.938,12564.936,12399.976
"chr1_31596",0,0,0,0,0,0
"chr1_31879",0,0,0,0,0,0
"chr1_31964",0,0,0,0,0,0
"chr1_32187",1,1,1.002,2.001,0,0
"chr1_32361",8.074,6.078,10.045,5.061,6.064,15.024
"chr1_32769",0,0,0,0,0,0
"chr1_33266",0,0,0,0,0,0
"chr1_33448",2514.771,2544.676,2896.733,2063.689,2226.771,2410.74
"chr1_33499",0,0,0,0,1,2
"chr1_33632",7.05,2,8.033,7.02,4.01,4
"chr1_34031",5.035,3.06,6.037,5.042,3.015,9.065
"chr1_34105",10.144,15.264,17.197,10.249,21.204,16.195
"chr1_34401",0,0,0,0,0,0
"chr1_34698",1,0,0,0,0,0
"chr1_34807",0,0,0,0,1,0
"chr1_34950",0,0,0,0,0,0
"chr1_34969",0,0,0,0,0,0
"chr1_35063",0,0,0,0,0,0
"chr1_35155",3916,3851,4754,3694,3903,4127
"chr1_36285",0,0,0,0,0,0
"chr1_36496",0,0,0,0,0,1
"chr1_36509",100,60,89,63,76,96
"chr1_37155",0,0,0,0,0,0
"chr1_37159",0,0,0,0,0,0
"chr1_37464",254.985,210,292.966,187,251,262
"chr1_37580",1.015,0,2.034,2,0,0
"chr1_39259",1833,1719,2239.949,1500,1729,1836
"chr1_41565",0,0,2.051,0,0,3
"chr1_42177",223,193,204,171,181,172
"chr1_42272",0,0,0,0,1,0
"chr1_42816",1,5,9,2,2,4
"chr1_42881",91748.998,89468,106477,71801,79746.995,86393
"chr1_43403",0,0,0,0,0,0
"chr1_43730",2.002,0,0,0,2.005,1
"chr1_43935",0,0,0,0,0,0
"chr1_45338",1,1,2,0,1,0
"chr1_45543",0,1,2,0,2,0
"chr1_45746",0,0,0,0,0,0
"chr1_45899",1859,1752,2313,1674,1795,1977
"chr1_45987",0,0,0,0,0,0
"chr1_48564",1123,984,1170,819,962,1054
"chr1_51855",774,822,911,777,786,895
"chr1_52801",617,568,706,476,541,578
"chr1_5379",23,13,15,11,18,13
"chr1_54305",2,0,0,0,0,1
"chr1_54487",0,0,0,0,0,0
"chr1_54584",0,0,0,0,0,0
"chr1_54989",446,368,496,310,378,442
"chr1_57000",0,0,0,0,0,0
"chr1_57029",128.936,148,176,136,131.99,149
"chr1_57031",0,0,0,0,0,0
"chr1_57083",0,0,0,0,0,0
"chr1_57138",4.064,3,2,0,1.01,0
"chr1_5717",0,0,0,0,0,0
"chr1_57488",2.006,1.004,0,0,0,1.004
"chr1_57518",511.994,563.996,662,554,584,622.996
"chr1_57898",0,0,0,0,1,0
"chr1_57950",749,907,986,751,791,849
"chr1_5862",8,10,8,6,7,6
"chr1_58695",1150,1167,1388,1144,1211,1254
"chr1_61061",0,0,0,0,0,0
"chr1_61231",10.027,4.043,3.044,7.027,6.081,8
